Ag volume	Ag dilution	Ab volume	Ab dilution	Count	Known?	
1	10000	1	10000	23506	0	
1	10000	1	10000	24679	0	
1	10000	1	10000	19152	0	
1	10000	1	10000	20412	0	
1	10000	1	10000	19413	0	
1	10000	1	10000	23560	0	
1	10000	1	10000	22442	0	
1	10000	1	10000	23897	0	
1	10000	1	10000	19814	0	
1	10000	1	10000	23159	0	
1	10000	1	10000	22399	0	
1	10000	1	10000	19586	0	
1	10000	1	10000	22605	0	
1	10000	1	10000	23473	0	
1	10000	1	10000	23148	0	
1	10000	1	10000	19337	0	
1	10000	1	10000	20650	0	
1	10000	1	10000	17969	0	
