Ab dilution	Ag dilution	Absorbance	Known?	
40000	2000	0.218	1	
40000	2000	0.210	1	
40000	2000	0.211	1	
40000	2000	0.197	1	
40000	2000	0.170	1	
40000	2000	0.162	1	
40000	2000	0.231	1	
40000	2000	0.186	1	
40000	800	0.497	1	
40000	800	0.531	1	
40000	800	0.528	1	
40000	800	0.452	1	
40000	800	0.438	1	
40000	800	0.540	1	
40000	800	0.587	1	
40000	800	0.433	1	
40000	1000	0.374	1	
40000	1000	0.403	1	
40000	1000	0.439	1	
40000	1000	0.371	1	
40000	1000	0.367	1	
40000	1000	0.388	1	
40000	1000	0.372	1	
40000	1000	0.345	1	
40000	8000	0.048	1	
40000	8000	0.055	1	
40000	8000	0.055	1	
40000	8000	0.059	1	
40000	8000	0.059	1	
40000	8000	0.047	1	
40000	8000	0.044	1	
40000	8000	0.043	1	
40000	10000	0.036	1	
40000	10000	0.038	1	
40000	10000	0.044	1	
40000	10000	0.043	1	
40000	10000	0.038	1	
40000	10000	0.043	1	
40000	10000	0.039	1	
40000	10000	0.038	1	
40000	10000	0.033	1	
40000	10000	0.042	1	
40000	10000	0.043	1	
40000	20000	0.019	1	
40000	20000	0.019	1	
40000	20000	0.018	1	
40000	20000	0.022	1	
40000	20000	0.018	1	
40000	32000	0.011	1	
40000	32000	0.011	1	
40000	32000	0.014	1	
40000	32000	0.015	1	
40000	32000	0.014	1	
40000	32000	0.013	1	
40000	40000	0.011	1	
40000	40000	0.010	1	
40000	40000	0.011	1	
40000	40000	0.011	1	
40000	40000	0.011	1	
40000	64000	0.007	1	
40000	64000	0.005	1	
40000	64000	0.007	1	
40000	64000	0.006	1	
40000	64000	0.007	1	
40000	64000	0.007	1	
40000	80000	0.004	1	
40000	80000	0.005	1	
40000	80000	0.006	1	
40000	80000	0.005	1	
40000	80000	0.004	1	
40000	4000	0.094	1	
40000	4000	0.096	1	
40000	4000	0.108	1	
40000	4000	0.086	1	
40000	4000	0.108	1	
40000	4000	0.089	1	
40000	10000	0.045	1	
40000	10000	0.038	1	
40000	10000	0.044	1	
40000	10000	0.035	1	
40000	10000	0.036	1	
40000	20000	0.020	1	
40000	20000	0.017	1	
40000	20000	0.022	1	
40000	32000	0.011	1	
40000	32000	0.011	1	
40000	40000	0.010	1	
40000	40000	0.009	1	
40000	40000	0.009	1	
40000	64000	0.005	1	
40000	64000	0.006	1	
40000	80000	0.005	1	
40000	80000	0.005	1	
40000	80000	0.005	1	
40000	4000	0.090	1	
40000	4000	0.087	1	
