1	2	3	4	5	6	ki
0.223314	0.571982	0.081902	0.087098	0.00946972	0.026234	5.44503e-16
0.223273	0.569603	0.0827783	0.088097	0.00960817	0.0266401	5.91562e-16
0.223224	0.567213	0.0836605	0.0891033	0.009748	0.0270508	6.42688e-16
0.223166	0.564813	0.0845488	0.0901171	0.00988922	0.0274662	6.98232e-16
0.2231	0.562402	0.0854427	0.091138	0.0100318	0.027886	7.58578e-16
0.223024	0.559981	0.0863424	0.0921661	0.0101757	0.0283105	8.24138e-16
0.22294	0.55755	0.0872479	0.0932014	0.0103211	0.0287395	8.95365e-16
0.222848	0.555109	0.0881588	0.0942436	0.0104677	0.029173	9.72747e-16
0.222746	0.552659	0.0890754	0.0952928	0.0106157	0.0296112	1.05682e-15
0.222636	0.550199	0.0899973	0.0963488	0.010765	0.0300537	1.14815e-15
0.222518	0.54773	0.0909245	0.0974114	0.0109156	0.0305008	1.24738e-15
0.222391	0.545252	0.0918569	0.0984807	0.0110676	0.0309523	1.35519e-15
0.222255	0.542765	0.0927945	0.0995564	0.0112208	0.0314083	1.47231e-15
0.222111	0.540269	0.0937371	0.100639	0.0113753	0.0318687	1.59956e-15
0.221958	0.537766	0.0946847	0.101727	0.0115311	0.0323335	1.7378e-15
0.221797	0.535254	0.095637	0.102821	0.0116881	0.0328027	1.88799e-15
0.221627	0.532734	0.0965941	0.103922	0.0118464	0.0332761	2.05116e-15
0.22145	0.530207	0.0975557	0.105028	0.0120058	0.0337539	2.22844e-15
0.221263	0.527672	0.0985219	0.106141	0.0121665	0.0342359	2.42103e-15
0.221069	0.52513	0.0994924	0.107258	0.0123283	0.0347221	2.63027e-15
0.220866	0.522581	0.100467	0.108382	0.0124914	0.0352125	2.85759e-15
0.220655	0.520026	0.101446	0.10951	0.0126555	0.035707	3.10456e-15
0.220436	0.517464	0.102429	0.110644	0.0128208	0.0362056	3.37287e-15
0.220209	0.514896	0.103416	0.111783	0.0129873	0.0367083	3.66438e-15
0.219974	0.512323	0.104406	0.112927	0.0131547	0.0372149	3.98107e-15
0.219731	0.509744	0.1054	0.114075	0.0133233	0.0377254	4.32514e-15
0.21948	0.50716	0.106398	0.115229	0.0134929	0.0382399	4.69894e-15
0.219222	0.504571	0.107399	0.116386	0.0136635	0.0387582	5.10505e-15
0.218956	0.501978	0.108403	0.117548	0.0138351	0.0392802	5.54626e-15
0.218682	0.49938	0.109411	0.118714	0.0140078	0.039806	6.0256e-15
0.218401	0.496778	0.110421	0.119884	0.0141813	0.0403353	6.54636e-15
0.218112	0.494172	0.111434	0.121058	0.0143558	0.0408683	7.11214e-15
0.217816	0.491563	0.112449	0.122235	0.0145312	0.0414048	7.72681e-15
0.217512	0.488951	0.113468	0.123416	0.0147075	0.0419448	8.3946e-15
0.217202	0.486337	0.114488	0.1246	0.0148846	0.0424881	9.12011e-15
0.216884	0.48372	0.115511	0.125788	0.0150626	0.0430348	9.90832e-15
0.21656	0.4811	0.116536	0.126978	0.0152414	0.0435847	1.07647e-14
0.216228	0.47848	0.117562	0.128171	0.0154209	0.0441378	1.1695e-14
0.21589	0.475857	0.118591	0.129366	0.0156012	0.044694	1.27057e-14
0.215545	0.473234	0.119621	0.130564	0.0157822	0.0452532	1.38038e-14
0.215194	0.470609	0.120653	0.131765	0.0159639	0.0458154	1.49968e-14
0.214836	0.467985	0.121686	0.132967	0.0161463	0.0463805	1.6293e-14
0.214472	0.46536	0.12272	0.134171	0.0163293	0.0469483	1.77011e-14
0.214101	0.462735	0.123755	0.135377	0.0165129	0.0475188	1.92309e-14
0.213725	0.460111	0.124791	0.136584	0.0166971	0.048092	2.0893e-14
0.213342	0.457488	0.125827	0.137793	0.0168818	0.0486677	2.26986e-14
0.212954	0.454866	0.126865	0.139003	0.0170671	0.0492459	2.46604e-14
0.212559	0.452246	0.127902	0.140213	0.0172528	0.0498264	2.67917e-14
0.21216	0.449627	0.12894	0.141425	0.017439	0.0504093	2.91072e-14
0.211754	0.447011	0.129978	0.142637	0.0176257	0.0509943	3.16228e-14
0.211343	0.444397	0.131016	0.143849	0.0178127	0.0515814	3.43558e-14
0.210927	0.441786	0.132054	0.145062	0.0180001	0.0521706	3.7325e-14
0.210506	0.439178	0.133091	0.146275	0.0181879	0.0527617	4.05509e-14
0.21008	0.436574	0.134128	0.147488	0.0183759	0.0533547	4.40555e-14
0.209649	0.433973	0.135164	0.1487	0.0185643	0.0539494	4.7863e-14
0.209213	0.431377	0.1362	0.149912	0.0187529	0.0545457	5.19996e-14
0.208773	0.428785	0.137234	0.151123	0.0189417	0.0551436	5.64937e-14
0.208328	0.426198	0.138267	0.152333	0.0191307	0.0557431	6.13762e-14
0.207878	0.423616	0.139299	0.153542	0.0193198	0.0563439	6.66807e-14
