Ab dilution	Ag dilution	Absorbance	Known?	
64000	10	1.280	1	
80000	10	1.006	1	
40000	10	1.691	1	
32000	40	1.807	1	
40000	40	1.678	1	
80000	40	0.895	1	
32000	100	2.106	1	
64000	100	0.963	1	
80000	100	0.793	1	
40000	100	1.772	1	
32000	400	0.834	1	
40000	400	0.971	1	
64000	400	1.097	1	
80000	400	0.793	1	
32000	1000	0.355	1	
64000	1000	0.356	1	
80000	1000	0.348	1	
40000	1000	0.443	1	
40000	4000	0.087	1	
64000	4000	0.093	1	
32000	4000	0.105	1	
80000	4000	0.090	1	
32000	10000	0.044	1	
64000	10000	0.037	1	
80000	10000	0.038	1	
40000	40000	0.010	1	
64000	40000	0.009	1	
32000	40000	0.011	1	
80000	40000	0.009	1	
32000	100000	0.004	1	
32000	10	2.054	1	
64000	40	1.077	1	
40000	10000	0.045	1	
40000	100000	0.004	1	
64000	100000	0.004	1	
80000	100000	0.003	1	
32000	400000	0.001	1	
40000	400000	0.001	1	
64000	400000	0.001	1	
80000	400000	0.001	1	
32000	1000000	0.000	1	
40000	1000000	0.000	1	
64000	1000000	0.000	1	
80000	1000000	0.000	1	
32000	4000000	0.000	1	
40000	4000000	0.000	1	
64000	4000000	0.000	1	
80000	4000000	0.000	1	
